Run	nr_successes	Running avg
130	2	0.030769
131	4	0.030534
132	3	0.030303
133	4	0.030075
134	1	0.029851
135	4	0.029630
136	0	0.029412
137	3	0.029197
138	2	0.028986
139	4	0.028777
140	4	0.028571
141	2	0.028369
142	2	0.028169
143	2	0.027972
144	3	0.027778
145	2	0.027586
146	3	0.027397
147	4	0.027211
148	4	0.027027
149	1	0.026846
150	4	0.026667
151	3	0.026490
152	2	0.026316
153	2	0.026144
154	2	0.025974
155	2	0.025806
156	2	0.025641
157	5	0.031847
158	3	0.031646
159	3	0.031447
160	4	0.031250
161	2	0.031056
162	3	0.030864
163	2	0.030675
164	4	0.030488
165	3	0.030303
166	3	0.030120
167	5	0.035928
168	4	0.035714
169	2	0.035503
170	0	0.035294
171	3	0.035088
172	3	0.034884
173	2	0.034682
174	4	0.034483
175	3	0.034286
176	2	0.034091
177	1	0.033898
178	3	0.033708
179	2	0.033520
180	2	0.033333
181	3	0.033149
182	3	0.032967
183	0	0.032787
184	3	0.032609
185	4	0.032432
186	3	0.032258
187	2	0.032086
188	4	0.031915
189	2	0.031746
190	3	0.031579
191	3	0.031414
192	3	0.031250
193	2	0.031088
194	1	0.030928
195	4	0.030769
196	1	0.030612
197	2	0.030457
198	3	0.030303
199	3	0.030151
200	5	0.035000
201	2	0.034826
202	2	0.034653
203	1	0.034483
204	2	0.034314
205	2	0.034146
206	2	0.033981
207	3	0.033816
208	4	0.033654
209	2	0.033493
210	1	0.033333
211	1	0.033175
212	3	0.033019
213	3	0.032864
214	3	0.032710
215	4	0.032558
216	4	0.032407
217	2	0.032258
218	3	0.032110
219	2	0.031963
220	5	0.036364
221	2	0.036199
222	1	0.036036
223	1	0.035874
224	4	0.035714
225	2	0.035556
226	3	0.035398
227	2	0.035242
228	5	0.039474
229	1	0.039301
230	4	0.039130
231	3	0.038961
232	1	0.038793
233	4	0.038627
234	3	0.038462
235	0	0.038298
236	2	0.038136
237	3	0.037975
238	3	0.037815
239	3	0.037657
240	4	0.037500
241	2	0.037344
242	1	0.037190
243	0	0.037037
244	2	0.036885
245	5	0.040816
246	3	0.040650
247	2	0.040486
248	1	0.040323
249	3	0.040161
250	3	0.040000
251	1	0.039841
252	2	0.039683
253	3	0.039526
254	3	0.039370
255	3	0.039216
256	3	0.039062
257	4	0.038911
258	4	0.038760
259	1	0.038610
260	0	0.038462
261	2	0.038314
262	1	0.038168
263	1	0.038023
264	0	0.037879
265	1	0.037736
266	3	0.037594
267	1	0.037453
268	2	0.037313
269	3	0.037175
270	2	0.037037
271	3	0.036900
272	2	0.036765
273	2	0.036630
274	3	0.036496
275	2	0.036364
276	4	0.036232
277	2	0.036101
278	0	0.035971
279	2	0.035842
280	1	0.035714
281	2	0.035587
282	2	0.035461
283	3	0.035336
284	2	0.035211
285	1	0.035088
286	1	0.034965
287	2	0.034843
288	1	0.034722
289	3	0.034602
290	1	0.034483
291	3	0.034364
292	3	0.034247
293	1	0.034130
294	2	0.034014
295	3	0.033898
296	2	0.033784
297	2	0.033670
298	4	0.033557
299	4	0.033445
300	2	0.033333
301	1	0.033223
302	4	0.033113
303	3	0.033003
304	4	0.032895
305	1	0.032787
306	3	0.032680
307	3	0.032573
308	2	0.032468
309	3	0.032362
310	0	0.032258
311	4	0.032154
312	2	0.032051
313	3	0.031949
314	3	0.031847
315	3	0.031746
316	3	0.031646
317	2	0.031546
318	3	0.031447
319	3	0.031348
320	2	0.031250
321	2	0.031153
322	4	0.031056
323	1	0.030960
324	0	0.030864
325	4	0.030769
326	1	0.030675
327	2	0.030581
328	1	0.030488
329	3	0.030395
330	2	0.030303
331	3	0.030211
332	4	0.030120
333	5	0.033033
334	2	0.032934
335	1	0.032836
336	1	0.032738
337	2	0.032641
338	1	0.032544
339	4	0.032448
340	3	0.032353
341	2	0.032258
342	3	0.032164
343	3	0.032070
344	4	0.031977
345	2	0.031884
346	1	0.031792
347	3	0.031700
348	4	0.031609
349	3	0.031519
350	3	0.031429
351	3	0.031339
352	2	0.031250
353	2	0.031161
354	4	0.031073
355	2	0.030986
356	1	0.030899
357	4	0.030812
358	4	0.030726
359	3	0.030641
360	2	0.030556
361	3	0.030471
362	1	0.030387
363	3	0.030303
364	3	0.030220
365	4	0.030137
366	3	0.030055
367	1	0.029973
368	3	0.029891
369	1	0.029810
370	3	0.029730
371	5	0.032345
372	3	0.032258
373	1	0.032172
374	3	0.032086
375	2	0.032000
376	2	0.031915
377	3	0.031830
378	2	0.031746
379	5	0.034301
380	2	0.034211
381	2	0.034121
382	2	0.034031
383	1	0.033943
384	1	0.033854
385	3	0.033766
386	2	0.033679
387	0	0.033592
388	1	0.033505
389	1	0.033419
390	4	0.033333
391	2	0.033248
392	2	0.033163
393	3	0.033079
394	3	0.032995
395	2	0.032911
396	3	0.032828
397	1	0.032746
398	3	0.032663
399	2	0.032581
400	3	0.032500
401	3	0.032419
402	4	0.032338
403	1	0.032258
404	4	0.032178
405	3	0.032099
406	2	0.032020
407	5	0.034398
408	2	0.034314
409	3	0.034230
410	2	0.034146
411	3	0.034063
412	4	0.033981
413	2	0.033898
414	0	0.033816
415	4	0.033735
416	1	0.033654
417	4	0.033573
418	2	0.033493
419	3	0.033413
420	3	0.033333
421	3	0.033254
422	1	0.033175
423	4	0.033097
424	3	0.033019
425	2	0.032941
426	3	0.032864
427	2	0.032787
428	3	0.032710
429	3	0.032634
430	2	0.032558
431	3	0.032483
432	3	0.032407
433	1	0.032333
434	3	0.032258
435	1	0.032184
436	4	0.032110
437	3	0.032037
438	3	0.031963
439	3	0.031891
440	2	0.031818
441	2	0.031746
442	5	0.033937
443	1	0.033860
444	3	0.033784
445	3	0.033708
446	3	0.033632
447	2	0.033557
448	4	0.033482
449	1	0.033408
450	2	0.033333
451	3	0.033259
452	3	0.033186
453	2	0.033113
454	2	0.033040
455	2	0.032967
456	2	0.032895
457	3	0.032823
458	2	0.032751
459	3	0.032680
460	3	0.032609
461	4	0.032538
462	3	0.032468
463	4	0.032397
464	2	0.032328
465	4	0.032258
466	3	0.032189
467	3	0.032120
468	1	0.032051
469	3	0.031983
470	2	0.031915
471	2	0.031847
472	3	0.031780
473	3	0.031712
474	3	0.031646
475	4	0.031579
476	0	0.031513
477	3	0.031447
478	2	0.031381
479	1	0.031315
480	2	0.031250
481	5	0.033264
482	1	0.033195
483	5	0.035197
484	4	0.035124
485	2	0.035052
486	4	0.034979
487	1	0.034908
488	3	0.034836
489	1	0.034765
490	4	0.034694
491	3	0.034623
492	2	0.034553
493	5	0.036511
494	3	0.036437
495	2	0.036364
496	3	0.036290
497	2	0.036217
498	3	0.036145
499	3	0.036072
500	3	0.036000
501	1	0.035928
502	2	0.035857
503	3	0.035785
504	3	0.035714
505	2	0.035644
506	3	0.035573
507	1	0.035503
508	3	0.035433
509	3	0.035363
510	3	0.035294
511	1	0.035225
512	1	0.035156
513	4	0.035088
514	3	0.035019
515	2	0.034951
516	2	0.034884
517	2	0.034816
518	4	0.034749
519	1	0.034682
520	2	0.034615
521	2	0.034549
522	3	0.034483
523	2	0.034417
524	2	0.034351
525	3	0.034286
526	3	0.034221
527	2	0.034156
528	2	0.034091
529	1	0.034026
530	3	0.033962
531	2	0.033898
532	2	0.033835
533	2	0.033771
534	3	0.033708
535	3	0.033645
536	2	0.033582
537	1	0.033520
538	2	0.033457
539	3	0.033395
540	3	0.033333
541	2	0.033272
542	3	0.033210
543	1	0.033149
544	1	0.033088
545	5	0.034862
546	2	0.034799
547	2	0.034735
548	2	0.034672
549	4	0.034608
550	1	0.034545
551	2	0.034483
552	4	0.034420
553	2	0.034358
554	3	0.034296
555	1	0.034234
556	4	0.034173
557	2	0.034111
558	3	0.034050
559	2	0.033989
560	3	0.033929
561	3	0.033868
562	4	0.033808
563	2	0.033748
564	1	0.033688
565	4	0.033628
566	1	0.033569
567	1	0.033510
568	1	0.033451
569	2	0.033392
570	3	0.033333
571	1	0.033275
572	3	0.033217
573	4	0.033159
574	2	0.033101
575	4	0.033043
576	2	0.032986
577	2	0.032929
578	3	0.032872
579	4	0.032815
580	4	0.032759
581	4	0.032702
582	2	0.032646
583	2	0.032590
584	1	0.032534
585	3	0.032479
586	1	0.032423
587	3	0.032368
588	2	0.032313
589	4	0.032258
590	2	0.032203
591	3	0.032149
592	2	0.032095
593	4	0.032040
594	3	0.031987
595	4	0.031933
596	4	0.031879
597	1	0.031826
598	3	0.031773
599	2	0.031720
600	2	0.031667
601	3	0.031614
602	4	0.031561
603	3	0.031509
604	3	0.031457
605	2	0.031405
606	2	0.031353
607	3	0.031301
608	3	0.031250
609	1	0.031199
610	2	0.031148
611	2	0.031097
612	3	0.031046
613	3	0.030995
614	3	0.030945
615	1	0.030894
616	2	0.030844
617	3	0.030794
618	4	0.030744
619	3	0.030695
620	2	0.030645
621	2	0.030596
622	2	0.030547
623	3	0.030498
624	4	0.030449
625	3	0.030400
626	3	0.030351
627	3	0.030303
628	1	0.030255
629	3	0.030207
630	3	0.030159
631	3	0.030111
632	2	0.030063
633	1	0.030016
634	1	0.029968
635	3	0.029921
636	4	0.029874
637	0	0.029827
638	2	0.029781
639	3	0.029734
640	3	0.029687
641	3	0.029641
642	1	0.029595
643	2	0.029549
644	2	0.029503
645	4	0.029457
646	2	0.029412
647	3	0.029366
648	4	0.029321
649	0	0.029276
650	2	0.029231
651	3	0.029186
652	2	0.029141
653	2	0.029096
654	5	0.030581
655	3	0.030534
656	1	0.030488
657	2	0.030441
658	4	0.030395
659	1	0.030349
660	3	0.030303
661	2	0.030257
662	2	0.030211
663	3	0.030166
664	3	0.030120
665	4	0.030075
666	3	0.030030
667	4	0.029985
668	2	0.029940
669	2	0.029895
670	2	0.029851
671	4	0.029806
672	1	0.029762
673	2	0.029718
674	2	0.029674
675	3	0.029630
676	2	0.029586
677	4	0.029542
678	3	0.029499
679	3	0.029455
680	2	0.029412
681	2	0.029369
682	2	0.029326
683	4	0.029283
684	1	0.029240
685	2	0.029197
686	2	0.029155
687	4	0.029112
688	2	0.029070
689	1	0.029028
690	4	0.028986
691	2	0.028944
692	2	0.028902
693	3	0.028860
694	2	0.028818
695	4	0.028777
696	1	0.028736
697	3	0.028694
698	2	0.028653
699	3	0.028612
700	4	0.028571
701	3	0.028531
702	3	0.028490
703	2	0.028450
704	3	0.028409
705	5	0.029787
706	2	0.029745
707	3	0.029703
708	2	0.029661
709	2	0.029619
710	3	0.029577
711	3	0.029536
712	1	0.029494
713	3	0.029453
714	2	0.029412
715	2	0.029371
716	2	0.029330
717	2	0.029289
718	1	0.029248
719	4	0.029207
720	3	0.029167
721	3	0.029126
722	3	0.029086
723	5	0.030429
724	3	0.030387
725	4	0.030345
726	2	0.030303
727	1	0.030261
728	2	0.030220
729	3	0.030178
730	2	0.030137
731	3	0.030096
732	1	0.030055
733	1	0.030014
734	1	0.029973
735	0	0.029932
736	3	0.029891
737	3	0.029851
738	2	0.029810
739	3	0.029770
740	1	0.029730
741	3	0.029690
742	3	0.029650
743	2	0.029610
744	2	0.029570
745	1	0.029530
746	4	0.029491
747	4	0.029451
748	0	0.029412
749	2	0.029372
750	4	0.029333
751	4	0.029294
752	3	0.029255
753	3	0.029216
754	3	0.029178
755	1	0.029139
756	3	0.029101
757	2	0.029062
758	4	0.029024
759	2	0.028986
760	2	0.028947
761	3	0.028909
762	2	0.028871
763	1	0.028834
764	3	0.028796
765	1	0.028758
766	2	0.028721
767	2	0.028683
768	2	0.028646
769	2	0.028609
770	2	0.028571
771	4	0.028534
772	3	0.028497
773	3	0.028461
774	4	0.028424
775	1	0.028387
776	3	0.028351
777	3	0.028314
778	5	0.029563
779	2	0.029525
780	1	0.029487
781	1	0.029449
782	2	0.029412
783	2	0.029374
784	5	0.030612
785	2	0.030573
786	2	0.030534
787	3	0.030496
788	2	0.030457
789	4	0.030418
790	2	0.030380
791	5	0.031606
792	2	0.031566
793	2	0.031526
794	3	0.031486
795	2	0.031447
796	4	0.031407
797	1	0.031368
798	2	0.031328
799	2	0.031289
800	3	0.031250
801	3	0.031211
802	1	0.031172
803	2	0.031133
804	2	0.031095
805	1	0.031056
806	1	0.031017
807	3	0.030979
808	3	0.030941
809	1	0.030902
810	2	0.030864
811	0	0.030826
812	2	0.030788
813	3	0.030750
814	1	0.030713
815	3	0.030675
816	3	0.030637
817	3	0.030600
818	2	0.030562
819	3	0.030525
820	3	0.030488
821	3	0.030451
822	1	0.030414
823	2	0.030377
824	2	0.030340
825	3	0.030303
826	2	0.030266
827	1	0.030230
828	0	0.030193
829	3	0.030157
830	4	0.030120
831	4	0.030084
832	1	0.030048
833	3	0.030012
834	3	0.029976
835	2	0.029940
836	1	0.029904
837	3	0.029869
838	3	0.029833
839	1	0.029797
840	3	0.029762
841	2	0.029727
842	2	0.029691
843	3	0.029656
844	3	0.029621
845	3	0.029586
846	1	0.029551
847	2	0.029516
848	2	0.029481
849	2	0.029446
850	2	0.029412
851	3	0.029377
852	2	0.029343
853	2	0.029308
854	2	0.029274
855	2	0.029240
856	4	0.029206
857	3	0.029172
858	3	0.029138
859	3	0.029104
860	3	0.029070
861	2	0.029036
862	2	0.029002
863	4	0.028969
864	5	0.030093
865	2	0.030058
866	3	0.030023
867	1	0.029988
868	2	0.029954
869	2	0.029919
870	3	0.029885
871	2	0.029851
872	3	0.029817
873	0	0.029782
874	4	0.029748
875	4	0.029714
876	1	0.029680
877	0	0.029647
878	0	0.029613
879	3	0.029579
880	4	0.029545
881	2	0.029512
882	2	0.029478
883	2	0.029445
884	3	0.029412
885	2	0.029379
886	2	0.029345
887	1	0.029312
888	2	0.029279
889	2	0.029246
890	2	0.029213
891	2	0.029181
892	3	0.029148
893	0	0.029115
894	1	0.029083
895	5	0.030168
896	1	0.030134
897	3	0.030100
898	1	0.030067
899	1	0.030033
900	2	0.030000
901	1	0.029967
902	2	0.029933
903	3	0.029900
904	2	0.029867
905	3	0.029834
906	4	0.029801
907	0	0.029768
908	4	0.029736
909	2	0.029703
910	3	0.029670
911	3	0.029638
912	2	0.029605
913	4	0.029573
914	3	0.029540
915	2	0.029508
916	2	0.029476
917	2	0.029444
918	3	0.029412
919	4	0.029380
920	1	0.029348
921	4	0.029316
922	4	0.029284
923	2	0.029252
924	3	0.029221
925	2	0.029189
926	5	0.030238
927	4	0.030205
928	4	0.030172
929	1	0.030140
930	3	0.030108
931	2	0.030075
932	4	0.030043
933	2	0.030011
934	4	0.029979
935	3	0.029947
936	2	0.029915
937	2	0.029883
938	5	0.030917
939	1	0.030884
940	3	0.030851
941	2	0.030818
942	2	0.030786
943	3	0.030753
944	2	0.030720
945	3	0.030688
946	3	0.030655
947	2	0.030623
948	2	0.030591
949	1	0.030558
950	3	0.030526
951	2	0.030494
952	3	0.030462
953	2	0.030430
954	2	0.030398
955	2	0.030366
956	2	0.030335
957	2	0.030303
958	3	0.030271
959	2	0.030240
960	4	0.030208
961	4	0.030177
962	1	0.030146
963	3	0.030114
964	3	0.030083
965	2	0.030052
966	2	0.030021
967	3	0.029990
968	3	0.029959
969	2	0.029928
970	1	0.029897
971	1	0.029866
972	4	0.029835
973	4	0.029805
974	2	0.029774
975	4	0.029744
976	3	0.029713
977	2	0.029683
978	1	0.029652
979	3	0.029622
980	3	0.029592
981	2	0.029562
982	4	0.029532
983	1	0.029502
984	2	0.029472
985	1	0.029442
986	1	0.029412
987	3	0.029382
988	2	0.029352
989	0	0.029323
990	2	0.029293
991	3	0.029263
992	5	0.030242
993	1	0.030211
994	1	0.030181
995	4	0.030151
996	2	0.030120
997	2	0.030090
998	2	0.030060
999	2	0.030030
1000	3	0.030000
1001	2	0.029970
1002	4	0.029940
1003	3	0.029910
1004	2	0.029880
1005	2	0.029851
1006	4	0.029821
1007	3	0.029791
1008	4	0.029762
1009	2	0.029732
1010	2	0.029703
1011	3	0.029674
1012	0	0.029644
1013	2	0.029615
1014	0	0.029586
1015	2	0.029557
1016	1	0.029528
1017	1	0.029499
1018	4	0.029470
1019	3	0.029441
1020	2	0.029412
1021	1	0.029383
1022	3	0.029354
1023	4	0.029326
1024	2	0.029297
1025	3	0.029268
1026	3	0.029240
1027	1	0.029211
1028	2	0.029183
1029	3	0.029155
1030	1	0.029126
1031	3	0.029098
1032	3	0.029070
1033	3	0.029042
1034	2	0.029014
1035	3	0.028986
1036	3	0.028958
1037	4	0.028930
1038	5	0.029865
1039	2	0.029836
1040	2	0.029808
1041	4	0.029779
1042	2	0.029750
1043	3	0.029722
1044	4	0.029693
1045	2	0.029665
1046	4	0.029637
1047	3	0.029608
1048	3	0.029580
1049	4	0.029552
1050	2	0.029524
1051	2	0.029496
1052	2	0.029468
1053	1	0.029440
1054	2	0.029412
1055	2	0.029384
1056	1	0.029356
1057	1	0.029328
1058	1	0.029301
1059	2	0.029273
1060	2	0.029245
1061	2	0.029218
1062	0	0.029190
1063	1	0.029163
1064	4	0.029135
1065	1	0.029108
1066	1	0.029081
1067	3	0.029053
1068	5	0.029963
1069	2	0.029935
1070	1	0.029907
1071	2	0.029879
1072	2	0.029851
1073	3	0.029823
1074	3	0.029795
1075	3	0.029767
1076	4	0.029740
1077	4	0.029712
1078	3	0.029685
1079	3	0.029657
1080	3	0.029630
1081	2	0.029602
1082	5	0.030499
1083	0	0.030471
1084	4	0.030443
1085	3	0.030415
1086	3	0.030387
1087	5	0.031279
1088	3	0.031250
1089	2	0.031221
1090	3	0.031193
1091	3	0.031164
1092	1	0.031136
1093	3	0.031107
1094	1	0.031079
1095	1	0.031050
1096	3	0.031022
1097	2	0.030994
1098	1	0.030965
1099	2	0.030937
1100	3	0.030909
1101	1	0.030881
1102	1	0.030853
1103	3	0.030825
1104	3	0.030797
1105	3	0.030769
1106	4	0.030741
1107	1	0.030714
1108	2	0.030686
1109	3	0.030658
1110	4	0.030631
1111	2	0.030603
1112	1	0.030576
1113	2	0.030548
1114	2	0.030521
1115	1	0.030493
1116	3	0.030466
1117	2	0.030439
1118	3	0.030411
1119	3	0.030384
1120	3	0.030357
1121	3	0.030330
1122	1	0.030303
1123	4	0.030276
1124	1	0.030249
1125	2	0.030222
1126	2	0.030195
1127	4	0.030169
1128	4	0.030142
1129	3	0.030115
1130	3	0.030088
1131	2	0.030062
1132	0	0.030035
1133	1	0.030009
1134	4	0.029982
1135	2	0.029956
1136	1	0.029930
1137	3	0.029903
1138	2	0.029877
1139	4	0.029851
1140	3	0.029825
1141	2	0.029798
1142	2	0.029772
1143	3	0.029746
1144	4	0.029720
1145	5	0.030568
1146	4	0.030541
1147	3	0.030514
1148	3	0.030488
1149	4	0.030461
1150	3	0.030435
1151	2	0.030408
1152	2	0.030382
1153	3	0.030356
1154	2	0.030329
1155	3	0.030303
1156	3	0.030277
1157	3	0.030251
1158	3	0.030225
1159	1	0.030198
1160	5	0.031034
1161	2	0.031008
1162	4	0.030981
1163	3	0.030954
1164	4	0.030928
1165	4	0.030901
1166	3	0.030875
1167	2	0.030848
1168	4	0.030822
1169	1	0.030796
1170	1	0.030769
1171	1	0.030743
1172	1	0.030717
1173	0	0.030691
1174	3	0.030664
1175	1	0.030638
1176	4	0.030612
1177	2	0.030586
1178	1	0.030560
1179	5	0.031383
1180	1	0.031356
1181	1	0.031329
1182	2	0.031303
1183	1	0.031276
1184	2	0.031250
1185	3	0.031224
1186	4	0.031197
1187	4	0.031171
1188	4	0.031145
1189	2	0.031119
1190	2	0.031092
1191	3	0.031066
1192	3	0.031040
1193	2	0.031014
1194	3	0.030988
1195	5	0.031799
1196	0	0.031773
1197	1	0.031746
1198	2	0.031720
1199	1	0.031693
1200	4	0.031667
1201	5	0.032473
1202	3	0.032446
1203	4	0.032419
1204	4	0.032392
1205	4	0.032365
1206	3	0.032338
1207	1	0.032312
1208	3	0.032285
1209	2	0.032258
1210	2	0.032231
1211	2	0.032205
1212	1	0.032178
1213	3	0.032152
1214	4	0.032125
1215	1	0.032099
1216	4	0.032072
1217	3	0.032046
1218	4	0.032020
1219	2	0.031993
1220	4	0.031967
1221	2	0.031941
1222	3	0.031915
1223	2	0.031889
1224	1	0.031863
1225	1	0.031837
1226	3	0.031811
1227	3	0.031785
1228	3	0.031759
1229	3	0.031733
1230	2	0.031707
1231	2	0.031682
1232	1	0.031656
1233	3	0.031630
1234	3	0.031605
1235	1	0.031579
1236	2	0.031553
1237	2	0.031528
1238	3	0.031502
1239	3	0.031477
1240	3	0.031452
1241	3	0.031426
1242	3	0.031401
1243	3	0.031376
1244	1	0.031350
1245	1	0.031325
1246	2	0.031300
1247	2	0.031275
1248	2	0.031250
1249	3	0.031225
1250	1	0.031200
1251	2	0.031175
1252	2	0.031150
1253	4	0.031125
1254	1	0.031100
1255	1	0.031076
1256	3	0.031051
1257	1	0.031026
1258	4	0.031002
1259	3	0.030977
1260	3	0.030952
1261	2	0.030928
1262	4	0.030903
1263	2	0.030879
1264	2	0.030854
1265	2	0.030830
1266	1	0.030806
1267	3	0.030781
1268	3	0.030757
1269	2	0.030733
1270	3	0.030709
1271	2	0.030685
1272	1	0.030660
1273	1	0.030636
1274	1	0.030612
1275	3	0.030588
1276	1	0.030564
1277	1	0.030540
1278	3	0.030516
1279	4	0.030493
1280	2	0.030469
1281	2	0.030445
1282	2	0.030421
1283	1	0.030398
1284	2	0.030374
1285	4	0.030350
1286	3	0.030327
1287	0	0.030303
1288	4	0.030280
1289	3	0.030256
1290	3	0.030233
1291	4	0.030209
1292	2	0.030186
1293	4	0.030162
1294	3	0.030139
1295	3	0.030116
1296	2	0.030093
1297	2	0.030069
1298	2	0.030046
1299	4	0.030023
1300	3	0.030000
1301	2	0.029977
1302	2	0.029954
1303	2	0.029931
1304	4	0.029908
1305	3	0.029885
1306	1	0.029862
1307	4	0.029839
1308	4	0.029817
1309	4	0.029794
1310	3	0.029771
1311	2	0.029748
1312	2	0.029726
1313	1	0.029703
1314	2	0.029680
1315	2	0.029658
1316	3	0.029635
1317	4	0.029613
1318	1	0.029590
1319	2	0.029568
1320	3	0.029545
1321	2	0.029523
1322	3	0.029501
1323	5	0.030234
1324	3	0.030211
1325	3	0.030189
1326	2	0.030166
1327	1	0.030143
1328	3	0.030120
1329	4	0.030098
1330	3	0.030075
1331	1	0.030053
1332	2	0.030030
1333	2	0.030008
1334	2	0.029985
1335	2	0.029963
1336	5	0.030689
1337	3	0.030666
1338	3	0.030643
1339	4	0.030620
1340	4	0.030597
1341	3	0.030574
1342	2	0.030551
1343	2	0.030529
1344	3	0.030506
1345	2	0.030483
1346	2	0.030461
1347	3	0.030438
1348	4	0.030415
1349	4	0.030393
1350	2	0.030370
1351	3	0.030348
1352	1	0.030325
1353	4	0.030303
1354	3	0.030281
1355	2	0.030258
1356	2	0.030236
1357	3	0.030214
1358	1	0.030191
1359	3	0.030169
1360	3	0.030147
1361	2	0.030125
1362	2	0.030103
1363	2	0.030081
1364	3	0.030059
1365	4	0.030037
1366	4	0.030015
1367	4	0.029993
1368	2	0.029971
1369	4	0.029949
1370	3	0.029927
1371	2	0.029905
1372	4	0.029883
1373	3	0.029862
1374	3	0.029840
1375	4	0.029818
1376	2	0.029797
1377	1	0.029775
1378	3	0.029753
1379	2	0.029732
1380	4	0.029710
1381	1	0.029689
1382	2	0.029667
1383	3	0.029646
1384	2	0.029624
1385	5	0.030325
1386	3	0.030303
1387	2	0.030281
1388	3	0.030259
1389	2	0.030238
1390	1	0.030216
1391	3	0.030194
1392	4	0.030172
1393	1	0.030151
1394	3	0.030129
1395	4	0.030108
1396	3	0.030086
1397	0	0.030064
1398	0	0.030043
1399	3	0.030021
1400	2	0.030000
1401	3	0.029979
1402	1	0.029957
1403	3	0.029936
1404	3	0.029915
1405	2	0.029893
1406	0	0.029872
1407	1	0.029851
1408	3	0.029830
1409	3	0.029808
1410	4	0.029787
1411	2	0.029766
1412	3	0.029745
1413	3	0.029724
1414	5	0.030410
1415	1	0.030389
1416	3	0.030367
1417	4	0.030346
1418	4	0.030324
1419	2	0.030303
1420	3	0.030282
1421	2	0.030260
1422	2	0.030239
1423	3	0.030218
1424	1	0.030197
1425	3	0.030175
1426	2	0.030154
1427	4	0.030133
1428	3	0.030112
1429	2	0.030091
1430	2	0.030070
1431	1	0.030049
1432	2	0.030028
1433	3	0.030007
1434	3	0.029986
1435	3	0.029965
1436	2	0.029944
1437	1	0.029923
1438	4	0.029903
1439	2	0.029882
1440	4	0.029861
1441	4	0.029840
1442	2	0.029820
1443	3	0.029799
1444	2	0.029778
1445	5	0.030450
1446	1	0.030429
1447	3	0.030408
1448	2	0.030387
1449	2	0.030366
1450	3	0.030345
1451	2	0.030324
1452	4	0.030303
1453	3	0.030282
1454	2	0.030261
1455	3	0.030241
1456	2	0.030220
1457	3	0.030199
1458	3	0.030178
1459	3	0.030158
1460	2	0.030137
1461	4	0.030116
1462	3	0.030096
1463	2	0.030075
1464	2	0.030055
1465	2	0.030034
1466	3	0.030014
1467	2	0.029993
1468	3	0.029973
1469	3	0.029952
1470	3	0.029932
1471	1	0.029912
1472	2	0.029891
1473	3	0.029871
1474	3	0.029851
1475	4	0.029831
1476	2	0.029810
1477	2	0.029790
1478	3	0.029770
1479	5	0.030426
1480	3	0.030405
1481	3	0.030385
1482	1	0.030364
1483	0	0.030344
1484	1	0.030323
1485	1	0.030303
1486	0	0.030283
1487	2	0.030262
1488	0	0.030242
1489	3	0.030222
1490	3	0.030201
1491	2	0.030181
1492	3	0.030161
1493	2	0.030141
1494	2	0.030120
1495	4	0.030100
1496	4	0.030080
1497	4	0.030060
