Run	gain	Running avg
766	8	0.134465
767	4	0.134289
768	4	0.134115
769	8	0.133940
770	2	0.133766
771	16	0.134890
772	2	0.134715
773	2	0.134541
774	2	0.134367
775	16	0.135484
776	8	0.135309
777	2	0.135135
778	2	0.134961
779	2	0.134788
780	2	0.134615
781	4	0.134443
782	8	0.134271
783	2	0.134100
784	16	0.135204
785	2	0.135032
786	8	0.134860
787	64	0.135959
788	8	0.135787
789	2	0.135615
790	2	0.135443
791	16	0.136536
792	2	0.136364
793	4	0.136192
794	4	0.136020
795	2	0.135849
796	16	0.136935
797	2	0.136763
798	8	0.136591
799	2	0.136421
800	4	0.136250
801	32	0.137328
802	2	0.137157
803	4	0.136986
804	2	0.136816
805	2	0.136646
806	8	0.136476
807	16	0.137546
808	4	0.137376
809	2	0.137206
810	2	0.137037
811	4	0.136868
812	512	0.137931
813	4	0.137761
814	8	0.137592
815	4	0.137423
816	4	0.137255
817	8	0.137087
818	2	0.136919
819	4	0.136752
820	32	0.137805
821	2	0.137637
822	4	0.137470
823	2	0.137303
824	4	0.137136
825	4	0.136970
826	8	0.136804
827	4	0.136638
828	2	0.136473
829	4	0.136309
830	2	0.136145
831	2	0.135981
832	4	0.135817
833	32	0.136855
834	16	0.137890
835	2	0.137725
836	4	0.137560
837	2	0.137395
838	8	0.137232
839	32	0.138260
840	8	0.138095
841	2	0.137931
842	2	0.137767
843	2	0.137604
844	2	0.137441
845	2	0.137278
846	2	0.137116
847	2	0.136954
848	2	0.136792
849	8	0.136631
850	2	0.136471
851	2	0.136310
852	2	0.136150
853	8	0.135991
854	4	0.135831
855	2	0.135673
856	4	0.135514
857	8	0.135356
858	2	0.135198
859	2	0.135041
860	2	0.134884
861	4	0.134727
862	2	0.134571
863	8	0.134415
864	1024	0.135417
865	4	0.135260
866	8	0.135104
867	16	0.136101
868	8	0.135945
869	2	0.135788
870	4	0.135632
871	256	0.136625
872	2	0.136468
873	64	0.137457
874	8	0.137300
875	16	0.138286
876	2	0.138128
877	8	0.137970
878	4	0.137813
879	2	0.137656
880	2	0.137500
881	2	0.137344
882	4	0.137188
883	4	0.137033
884	2	0.136878
885	8	0.136723
886	16	0.137698
887	2	0.137542
888	4	0.137387
889	4	0.137233
890	32	0.138202
891	2	0.138047
892	4	0.137892
893	2	0.137738
894	8	0.137584
895	4	0.137430
896	16	0.138393
897	8	0.138239
898	64	0.139198
899	2	0.139043
900	16	0.140000
901	2	0.139845
902	16	0.140798
903	4	0.140642
904	4	0.140487
905	2	0.140331
906	4	0.140177
907	2	0.140022
908	8	0.139868
909	8	0.139714
910	16	0.140659
911	4	0.140505
912	512	0.141447
913	4	0.141292
914	16	0.142232
915	16	0.143169
916	2	0.143013
917	4	0.142857
918	2	0.142702
919	16	0.143634
920	8	0.143478
921	2	0.143322
922	4	0.143167
923	2	0.143012
924	2	0.142857
925	8	0.142703
926	32	0.143629
927	2	0.143474
928	128	0.144397
929	4	0.144241
930	32	0.145161
931	8	0.145005
932	4	0.144850
933	2	0.144695
934	4	0.144540
935	8	0.144385
936	2	0.144231
937	2	0.144077
938	2	0.143923
939	256	0.144835
940	8	0.144681
941	2	0.144527
942	16	0.145435
943	2	0.145281
944	4	0.145127
945	2	0.144974
946	4	0.144820
947	2	0.144667
948	2	0.144515
949	2	0.144362
950	4	0.144211
951	8	0.144059
952	2	0.143908
953	2	0.143757
954	2	0.143606
955	2	0.143455
956	2	0.143305
957	2	0.143156
958	2	0.143006
959	2	0.142857
960	2	0.142708
961	2	0.142560
962	8	0.142412
963	2	0.142264
964	64	0.143154
965	4	0.143005
966	64	0.143892
967	8	0.143744
968	4	0.143595
969	8	0.143447
970	4	0.143299
971	4	0.143151
972	4	0.143004
973	8	0.142857
974	2	0.142710
975	2	0.142564
976	2	0.142418
977	8	0.142272
978	2	0.142127
979	2	0.141982
980	4	0.141837
981	8	0.141692
982	2	0.141548
983	4	0.141404
984	2	0.141260
985	2	0.141117
986	2	0.140974
987	4	0.140831
988	32	0.141700
989	8	0.141557
990	2	0.141414
991	32	0.142281
992	2	0.142137
993	2	0.141994
994	2	0.141851
995	8	0.141709
996	8	0.141566
997	2	0.141424
998	2	0.141283
999	8	0.141141
1000	2	0.141000
1001	8	0.140859
1002	2	0.140719
1003	2	0.140578
1004	2	0.140438
1005	2	0.140299
1006	128	0.141153
1007	2	0.141013
1008	8	0.140873
1009	2	0.140733
1010	2	0.140594
1011	2	0.140455
1012	4	0.140316
1013	2	0.140178
1014	2	0.140039
1015	16	0.140887
1016	2	0.140748
1017	2	0.140610
1018	2	0.140472
1019	4	0.140334
1020	4	0.140196
1021	2	0.140059
1022	2	0.139922
1023	4	0.139785
1024	32	0.140625
1025	2	0.140488
1026	2	0.140351
1027	8	0.140214
1028	2	0.140078
1029	2	0.139942
1030	2	0.139806
1031	2	0.139670
1032	4	0.139535
1033	4	0.139400
1034	128	0.140232
1035	2	0.140097
1036	8	0.139961
1037	32	0.140791
1038	2	0.140655
1039	2	0.140520
1040	2	0.140385
1041	2	0.140250
1042	16	0.141075
1043	8	0.140940
1044	2	0.140805
1045	4	0.140670
1046	2	0.140535
1047	2	0.140401
1048	2	0.140267
1049	2	0.140133
1050	2	0.140000
1051	2	0.139867
1052	2	0.139734
1053	32	0.140551
1054	2	0.140417
1055	2	0.140284
1056	16	0.141098
1057	16	0.141911
1058	16	0.142722
1059	2	0.142587
1060	4	0.142453
1061	2	0.142319
1062	8	0.142185
1063	4	0.142051
1064	2	0.141917
1065	2	0.141784
1066	4	0.141651
1067	2	0.141518
1068	2	0.141386
1069	4	0.141254
1070	16	0.142056
1071	2	0.141923
1072	32	0.142724
1073	2	0.142591
1074	2	0.142458
1075	2	0.142326
1076	2	0.142193
1077	4	0.142061
1078	2	0.141929
1079	128	0.142725
1080	4	0.142593
1081	2	0.142461
1082	4	0.142329
1083	4	0.142198
1084	4	0.142066
1085	2	0.141935
1086	8	0.141805
1087	4	0.141674
1088	4	0.141544
1089	2	0.141414
1090	8	0.141284
1091	4	0.141155
1092	2	0.141026
1093	2	0.140897
1094	32	0.141682
1095	8	0.141553
1096	8	0.141423
1097	2	0.141294
1098	2	0.141166
1099	4	0.141037
1100	2	0.140909
1101	2	0.140781
1102	2	0.140653
1103	4	0.140526
1104	4	0.140399
1105	4	0.140271
1106	2	0.140145
1107	2	0.140018
1108	2	0.139892
1109	16	0.140667
1110	2	0.140541
1111	32	0.141314
1112	8	0.141187
1113	2	0.141060
1114	2	0.140934
1115	4	0.140807
1116	2	0.140681
1117	8	0.140555
1118	2	0.140429
1119	4	0.140304
1120	8	0.140179
1121	8	0.140054
1122	4	0.139929
1123	2	0.139804
1124	2	0.139680
1125	2	0.139556
1126	64	0.140320
1127	4	0.140195
1128	2	0.140071
1129	2	0.139947
1130	8	0.139823
1131	2	0.139699
1132	2	0.139576
1133	4	0.139453
1134	4	0.139330
1135	2	0.139207
1136	2	0.139085
1137	128	0.139842
1138	2	0.139719
1139	2	0.139596
1140	8	0.139474
1141	2	0.139351
1142	8	0.139229
1143	4	0.139108
1144	4	0.138986
1145	2	0.138865
1146	4	0.138743
1147	8	0.138622
1148	2	0.138502
1149	4	0.138381
1150	4	0.138261
1151	2	0.138141
1152	8	0.138021
1153	2	0.137901
1154	4	0.137782
1155	16	0.138528
1156	4	0.138408
1157	2	0.138289
1158	4	0.138169
1159	16	0.138913
1160	2	0.138793
1161	2	0.138674
1162	2	0.138554
1163	2	0.138435
1164	2	0.138316
1165	4	0.138197
1166	2	0.138079
1167	2	0.137961
1168	4	0.137842
1169	2	0.137725
1170	512	0.138462
1171	4	0.138343
1172	4	0.138225
1173	8	0.138107
1174	4	0.137990
1175	4	0.137872
1176	8	0.137755
1177	2	0.137638
1178	4	0.137521
1179	2	0.137405
1180	2	0.137288
1181	4	0.137172
1182	2	0.137056
1183	2	0.136940
1184	2	0.136824
1185	2	0.136709
1186	8	0.136594
1187	2	0.136479
1188	2	0.136364
1189	2	0.136249
1190	8	0.136134
1191	4	0.136020
1192	8	0.135906
1193	16	0.136630
1194	2	0.136516
1195	2	0.136402
1196	8	0.136288
1197	2	0.136174
1198	2	0.136060
1199	4	0.135947
1200	4	0.135833
1201	4	0.135720
1202	4	0.135607
1203	4	0.135495
1204	4	0.135382
1205	2	0.135270
1206	2	0.135158
1207	4	0.135046
1208	2	0.134934
1209	16	0.135649
1210	4	0.135537
1211	2	0.135425
1212	64	0.136139
1213	2	0.136026
1214	2	0.135914
1215	2	0.135802
1216	4	0.135691
1217	2	0.135579
1218	8	0.135468
1219	4	0.135357
1220	2	0.135246
1221	2	0.135135
1222	2	0.135025
1223	4	0.134914
1224	2	0.134804
1225	2	0.134694
1226	2	0.134584
1227	4	0.134474
1228	8	0.134365
1229	2	0.134255
1230	2	0.134146
1231	4	0.134037
1232	32	0.134740
1233	32	0.135442
1234	2	0.135332
1235	2	0.135223
1236	4	0.135113
1237	2	0.135004
1238	2	0.134895
1239	8	0.134786
1240	8	0.134677
1241	2	0.134569
1242	2	0.134461
1243	2	0.134352
1244	2	0.134244
1245	2	0.134137
1246	8	0.134029
1247	4	0.133921
1248	4	0.133814
1249	4	0.133707
1250	4	0.133600
1251	4	0.133493
1252	2	0.133387
1253	2	0.133280
1254	2	0.133174
1255	2	0.133068
1256	2	0.132962
1257	4	0.132856
1258	4	0.132750
1259	4	0.132645
1260	2	0.132540
1261	2	0.132435
1262	2	0.132330
1263	8	0.132225
1264	4	0.132120
1265	64	0.132806
1266	2	0.132701
1267	4	0.132597
1268	4	0.132492
1269	16	0.133176
1270	2	0.133071
1271	4	0.132966
1272	2	0.132862
1273	4	0.132757
1274	8	0.132653
1275	4	0.132549
1276	2	0.132445
1277	2	0.132341
1278	2	0.132238
1279	2	0.132134
1280	4	0.132031
1281	4	0.131928
1282	2	0.131825
1283	2	0.131723
1284	2	0.131620
1285	2	0.131518
1286	2	0.131415
1287	2	0.131313
1288	4	0.131211
1289	4	0.131109
1290	2	0.131008
1291	4	0.130906
1292	4	0.130805
1293	2	0.130704
1294	8	0.130603
1295	16	0.131274
1296	2	0.131173
1297	4	0.131072
1298	2	0.130971
1299	2	0.130870
1300	2	0.130769
1301	8	0.130669
1302	2	0.130568
1303	4	0.130468
1304	2	0.130368
1305	2	0.130268
1306	8	0.130168
1307	2	0.130069
1308	4	0.129969
1309	2	0.129870
1310	2	0.129771
1311	8	0.129672
1312	2	0.129573
1313	2	0.129474
1314	4	0.129376
1315	2	0.129278
1316	2	0.129179
1317	64	0.129841
1318	2	0.129742
1319	4	0.129644
1320	2	0.129545
1321	4	0.129447
1322	2	0.129349
1323	2	0.129252
1324	4	0.129154
1325	4	0.129057
1326	4	0.128959
1327	2	0.128862
1328	4	0.128765
1329	2	0.128668
1330	2	0.128571
1331	16	0.129226
1332	2	0.129129
1333	8	0.129032
1334	2	0.128936
1335	4	0.128839
1336	16	0.129491
1337	2	0.129394
1338	4	0.129297
1339	16	0.129948
1340	2	0.129851
1341	2	0.129754
1342	4	0.129657
1343	16	0.130305
1344	2	0.130208
1345	4	0.130112
1346	8	0.130015
1347	4	0.129918
1348	2	0.129822
1349	4	0.129726
1350	4	0.129630
1351	4	0.129534
1352	8	0.129438
1353	2	0.129342
1354	2	0.129247
1355	2	0.129151
1356	2	0.129056
1357	16	0.129698
1358	2	0.129602
1359	4	0.129507
1360	2	0.129412
1361	4	0.129317
1362	2	0.129222
1363	2	0.129127
1364	2	0.129032
1365	2	0.128938
1366	2	0.128843
1367	2	0.128749
1368	2	0.128655
1369	2	0.128561
1370	2	0.128467
1371	2	0.128373
1372	8	0.128280
1373	8	0.128186
1374	2	0.128093
1375	4	0.128000
1376	64	0.128634
1377	32	0.129267
1378	4	0.129173
1379	4	0.129079
1380	4	0.128986
1381	2	0.128892
1382	2	0.128799
1383	2	0.128706
1384	2	0.128613
1385	2	0.128520
1386	2	0.128427
1387	2	0.128335
1388	32	0.128963
1389	16	0.129590
1390	2	0.129496
1391	2	0.129403
1392	4	0.129310
1393	4	0.129218
1394	8	0.129125
1395	8	0.129032
1396	4	0.128940
1397	4	0.128848
1398	2	0.128755
1399	2	0.128663
1400	2	0.128571
1401	2	0.128480
1402	2	0.128388
1403	2	0.128297
1404	4	0.128205
1405	32	0.128826
1406	2	0.128734
1407	4	0.128643
1408	4	0.128551
1409	4	0.128460
1410	2	0.128369
1411	16	0.128987
1412	128	0.129603
1413	2	0.129512
1414	2	0.129420
1415	2	0.129329
1416	8	0.129237
1417	2	0.129146
1418	8	0.129055
1419	2	0.128964
1420	8	0.128873
1421	2	0.128783
1422	8	0.128692
1423	2	0.128602
1424	16	0.129213
1425	8	0.129123
1426	2	0.129032
1427	2	0.128942
1428	8	0.128852
1429	2	0.128761
1430	8	0.128671
1431	2	0.128581
1432	2	0.128492
1433	2	0.128402
1434	4	0.128312
1435	2	0.128223
1436	8	0.128134
1437	32	0.128740
1438	2	0.128651
1439	4	0.128562
1440	16	0.129167
1441	2	0.129077
1442	2	0.128988
1443	2	0.128898
1444	4	0.128809
1445	2	0.128720
1446	16	0.129322
1447	8	0.129233
1448	2	0.129144
1449	2	0.129055
1450	2	0.128966
1451	2	0.128877
1452	8	0.128788
1453	4	0.128699
1454	4	0.128611
1455	4	0.128522
1456	2	0.128434
1457	8	0.128346
1458	16	0.128944
1459	4	0.128855
1460	4	0.128767
1461	8	0.128679
1462	2	0.128591
1463	8	0.128503
1464	16	0.129098
1465	2	0.129010
1466	4	0.128922
1467	2	0.128834
1468	2	0.128747
1469	2	0.128659
1470	2	0.128571
1471	16	0.129164
1472	4	0.129076
1473	2	0.128988
1474	4	0.128901
1475	64	0.129492
1476	2	0.129404
1477	4	0.129316
1478	2	0.129229
1479	2	0.129141
1480	2	0.129054
1481	128	0.129642
1482	2	0.129555
1483	4	0.129467
1484	2	0.129380
1485	8	0.129293
1486	2	0.129206
1487	2	0.129119
1488	8	0.129032
1489	2	0.128946
1490	8	0.128859
1491	8	0.128773
1492	2	0.128686
1493	4	0.128600
1494	2	0.128514
1495	2	0.128428
1496	8	0.128342
1497	16	0.128925
